종별,종별정규화키,단계_A,A_판정규칙,분석포함,행수,최초연도,최신연도
남자부,남자부,오픈,오픈종별,Y,14770,2012,2026
남자중학부,남자중학부,중등,중등키워드,Y,13229,2007,2026
남자고등부,남자고등부,고등,고등키워드,Y,11061,2007,2026
여자중학부,여자중학부,중등,중등키워드,Y,10308,2007,2026
여자부,여자부,오픈,오픈종별,Y,10050,2012,2026
"남자초등5,6학년","남자초등5,6학년",초등,초등키워드,Y,7684,2012,2026
남자대학부,남자대학부,대학·일반,대학일반키워드,Y,7593,2007,2026
남자초등부,남자초등부,초등,초등키워드,Y,7416,2007,2026
남자일반부,남자일반부,대학·일반,대학일반키워드,Y,7033,2007,2026
여자고등부,여자고등부,고등,고등키워드,Y,6971,2007,2026
"여자초등5,6학년","여자초등5,6학년",초등,초등키워드,Y,6193,2012,2026
여자초등부,여자초등부,초등,초등키워드,Y,5683,2007,2026
"남자초등3,4학년","남자초등3,4학년",초등,초등키워드,Y,5535,2012,2026
여자대학부,여자대학부,대학·일반,대학일반키워드,Y,3637,2007,2026
여자일반부,여자일반부,대학·일반,대학일반키워드,Y,3625,2007,2026
"여자초등3,4학년","여자초등3,4학년",초등,초등키워드,Y,3617,2012,2026
"남자초등1,2학년","남자초등1,2학년",초등,초등키워드,Y,1488,2012,2026
"여자초등1,2학년","여자초등1,2학년",초등,초등키워드,Y,1075,2012,2026
남자실업부,남자실업부,대학·일반,대학일반키워드,Y,613,2014,2026
여자실업부,여자실업부,대학·일반,대학일반키워드,Y,258,2013,2026
남자초등5학년,남자초등5학년,초등,초등키워드,Y,72,2012,2026
남자초등6학년,남자초등6학년,초등,초등키워드,Y,72,2012,2026
여자초등6학년,여자초등6학년,초등,초등키워드,Y,72,2012,2024
"남자초등1,2학년(B조)","남자초등1,2학년(B조)",초등,초등키워드,Y,70,2012,2016
남자초등3학년,남자초등3학년,초등,초등키워드,Y,59,2012,2025
여자초등5학년,여자초등5학년,초등,초등키워드,Y,58,2012,2026
"남자초등3,4학년(B조)","남자초등3,4학년(B조)",초등,초등키워드,Y,52,2012,2014
여자초등4학년,여자초등4학년,초등,초등키워드,Y,51,2012,2026
남자초등4학년,남자초등4학년,초등,초등키워드,Y,50,2012,2026
남자초등2학년,남자초등2학년,초등,초등키워드,Y,48,2012,2025
남자12세이하부2부(B조),남자12세이하부2부(B조),초등,초등키워드,Y,40,2012,2026
"여자초등1,2학년(B조)","여자초등1,2학년(B조)",초등,초등키워드,Y,40,2012,2016
MEN,MEN,오픈,오픈종별,Y,37,2018,2019
여자초등3학년,여자초등3학년,초등,초등키워드,Y,29,2012,2026
"여자초등3,4학년(B조)","여자초등3,4학년(B조)",초등,초등키워드,Y,25,2012,2015
여자초등2학년,여자초등2학년,초등,초등키워드,Y,22,2012,2025
남자12세이하부1부(B조),남자12세이하부1부(B조),초등,초등키워드,Y,20,2012,2026
남자초등1학년,남자초등1학년,초등,초등키워드,Y,20,2012,2024
"남자초등5,6학년(B조)","남자초등5,6학년(B조)",초등,초등키워드,Y,20,2012,2015
여자12세이하부2부(B조),여자12세이하부2부(B조),초등,초등키워드,Y,20,2012,2013
남자12세이하부4부(B조),남자12세이하부4부(B조),초등,초등키워드,Y,17,2012,2025
여자12세이하부1부(B조),여자12세이하부1부(B조),초등,초등키워드,Y,16,2012,2017
남자유치부,남자유치부,분석제외,유치부,N,15,2012,2012
여자초등1학년,여자초등1학년,초등,초등키워드,Y,15,2012,2024
남자동호인부,남자동호인부,대학·일반,대학일반키워드,Y,13,2012,2015
"여자초등5,6학년(B조)","여자초등5,6학년(B조)",초등,초등키워드,Y,13,2012,2015
여자12세이하부4부(B조),여자12세이하부4부(B조),초등,초등키워드,Y,12,2012,2013
여자12세이하부3부(B조),여자12세이하부3부(B조),초등,초등키워드,Y,11,2012,2018
일반부,일반부,대학·일반,대학일반키워드,Y,10,2007,2026
남자12세이하부3부(B조),남자12세이하부3부(B조),초등,초등키워드,Y,9,2012,2026
중학부,중학부,중등,중등키워드,Y,9,2023,2026
여자주니어,여자주니어,중등,중등키워드,Y,8,2019,2019
고등부,고등부,고등,고등키워드,Y,7,2023,2026
대학부,대학부,대학·일반,대학일반키워드,Y,7,2023,2026
남자12세이하부5부(B조),남자12세이하부5부(B조),초등,초등키워드,Y,6,2012,2013
남자주니어,남자주니어,중등,중등키워드,Y,6,2019,2019
남자12세이하부6부(B조),남자12세이하부6부(B조),초등,초등키워드,Y,5,2012,2012
여자유치부,여자유치부,분석제외,유치부,N,5,2012,2012
여자동호인부,여자동호인부,대학·일반,대학일반키워드,Y,4,2014,2014
"남자초등3,4,5,6학년","남자초등3,4,5,6학년",초등,초등키워드,Y,3,2017,2017
여자12세이하부6부(B조),여자12세이하부6부(B조),초등,초등키워드,Y,2,2012,2012
"여자초등3,4,5,6학년","여자초등3,4,5,6학년",초등,초등키워드,Y,2,2017,2017
여자초등고학년,여자초등고학년,초등,초등키워드,Y,1,2017,2017
