대회연도,종별,단계_A,행수
2007,남자초등부,초등,352
2007,남자중학부,중등,247
2007,여자초등부,초등,245
2007,남자고등부,고등,170
2007,여자중학부,중등,147
2007,남자대학부,대학·일반,107
2007,남자일반부,대학·일반,96
2007,여자고등부,고등,96
2007,여자일반부,대학·일반,58
2007,여자대학부,대학·일반,50
2007,일반부,대학·일반,4
2008,남자초등부,초등,440
2008,남자중학부,중등,274
2008,여자초등부,초등,257
2008,남자고등부,고등,179
2008,남자일반부,대학·일반,155
2008,남자대학부,대학·일반,136
2008,여자중학부,중등,114
2008,여자고등부,고등,104
2008,여자대학부,대학·일반,76
2008,여자일반부,대학·일반,64
2009,남자초등부,초등,406
2009,여자초등부,초등,263
2009,남자중학부,중등,258
2009,남자고등부,고등,211
2009,남자일반부,대학·일반,154
2009,여자중학부,중등,142
2009,남자대학부,대학·일반,136
2009,여자고등부,고등,67
2009,여자대학부,대학·일반,64
2009,여자일반부,대학·일반,58
2010,남자초등부,초등,348
2010,여자초등부,초등,283
2010,남자중학부,중등,223
2010,남자고등부,고등,219
2010,남자대학부,대학·일반,189
2010,남자일반부,대학·일반,154
2010,여자중학부,중등,134
2010,여자고등부,고등,83
2010,여자일반부,대학·일반,69
2010,여자대학부,대학·일반,67
2011,남자초등부,초등,377
2011,여자초등부,초등,296
2011,남자중학부,중등,260
2011,남자고등부,고등,245
2011,여자중학부,중등,171
2011,남자일반부,대학·일반,158
2011,남자대학부,대학·일반,150
2011,여자고등부,고등,85
2011,여자일반부,대학·일반,78
2011,여자대학부,대학·일반,56
2012,남자중학부,중등,604
2012,남자고등부,고등,531
2012,여자중학부,중등,433
2012,남자초등부,초등,368
2012,남자대학부,대학·일반,364
2012,여자고등부,고등,313
2012,여자초등부,초등,310
2012,"남자초등5,6학년",초등,301
2012,남자일반부,대학·일반,293
2012,"남자초등3,4학년",초등,276
2012,여자일반부,대학·일반,226
2012,"여자초등5,6학년",초등,194
2012,"여자초등3,4학년",초등,153
2012,여자대학부,대학·일반,115
2012,남자부,오픈,109
2012,"남자초등1,2학년",초등,77
2012,여자부,오픈,53
2012,"남자초등1,2학년(B조)",초등,47
2012,"여자초등1,2학년",초등,33
2012,남자초등2학년,초등,32
2012,"남자초등3,4학년(B조)",초등,26
2012,남자초등5학년,초등,25
2012,남자초등3학년,초등,23
