대회연도,전체행수,비교가능행수,일치행수,일치율(%),오픈비율(%),출생연도결측비율(%),단계분석사용가능,판정사유
2007,1572,1525,1413,92.66,0.0,2.99,Y,충족
2008,1799,1761,1696,96.31,0.0,2.11,Y,충족
2009,1759,1757,1602,91.18,0.0,0.11,Y,충족
2010,1769,1718,1656,96.39,0.0,2.88,Y,충족
2011,1876,1824,1792,98.25,0.0,2.77,Y,충족
2012,5102,4607,4488,97.42,3.18,6.53,Y,충족
2013,5571,4330,4085,94.34,13.89,8.38,Y,충족
2014,7454,5825,5436,93.32,17.76,4.02,Y,충족
2015,8883,6475,5964,92.11,26.3,0.75,Y,충족
2016,9334,6940,6363,91.69,25.02,0.63,Y,충족
2017,8754,6897,6452,93.55,18.78,2.43,Y,충족
2018,9251,6562,6047,92.15,25.28,4.1,Y,충족
2019,9359,7463,6989,93.65,19.49,0.85,Y,충족
2020,3818,3752,3536,94.24,0.84,0.89,Y,충족
2021,7294,5316,4710,88.6,26.86,0.26,N,일치율미달
2022,10341,8156,7704,94.46,20.66,0.47,Y,충족
2023,9454,6779,6334,93.44,27.96,0.34,Y,충족
2024,10035,7415,6963,93.9,25.47,0.64,Y,충족
2025,10040,8135,7843,96.41,18.8,0.17,Y,충족
2026,5447,4486,4006,89.3,16.61,1.03,N,일치율미달
