시즌,활동선수수,쇼트트랙전용수,스피드전용수,병행수,전환수,기타수,쇼트트랙중단수,빙상중단수
2006,305,295,3,7,0,0,0,0
2007,398,383,3,5,7,0,116,108
2008,333,323,0,0,10,0,2,3
2009,411,389,3,5,14,0,122,114
2010,362,338,5,0,19,0,101,85
2011,384,347,11,0,26,0,66,61
2012,454,375,20,7,52,0,22,20
2013,519,434,25,24,36,0,76,73
2014,546,451,27,23,45,0,89,82
2015,592,498,15,22,57,0,84,71
2016,616,517,18,22,59,0,114,102
2017,576,496,23,19,38,0,88,91
2018,582,497,19,24,42,0,103,98
2019,611,542,11,18,40,0,121,104
2020,600,546,16,4,34,0,165,150
2021,484,409,31,4,40,0,26,29
2022,515,439,38,11,27,0,72,72
2023,524,445,38,14,27,0,74,80
2024,542,465,41,11,25,0,137,137
2025,493,417,30,13,33,0,60,92
2026,422,396,2,0,24,0,420,422
