지표유형,성별,거리,학년,백분위구간,표본N,향상폭_p25(초),향상폭_p50(초),향상폭_p75(초),평균향상폭(초),예측단계,향상속도_AUC(%),백분위_AUC(%),예측력차이(AUC%p),신뢰한계문구
기준선,남,500,1,전체,6,3.068,5.351,6.658,3.518,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,2,전체,35,1.735,3.353,4.684,3.739,,,,,
기준선,남,500,3,전체,64,0.856,1.968,3.322,1.834,,,,,
기준선,남,500,4,전체,128,0.619,1.436,2.692,1.568,,,,,
기준선,남,500,5,전체,149,0.456,1.404,2.424,0.99,,,,,
기준선,남,500,6,전체,93,0.454,1.408,2.163,0.534,,,,,
기준선,남,500,7,전체,83,0.365,1.088,1.761,2.073,,,,,
기준선,남,500,8,전체,117,0.266,0.813,1.539,0.064,,,,,
기준선,남,500,9,전체,120,0.017,0.562,1.331,0.739,,,,,
기준선,남,500,10,전체,130,-0.079,0.414,0.99,0.466,,,,,
기준선,남,500,11,전체,109,-0.588,0.158,0.686,-0.387,,,,,
기준선,남,500,12,전체,89,-0.252,0.114,0.748,-0.115,,,,,
기준선,남,500,13,전체,82,-0.392,0.044,0.394,0.29,,,,,
기준선,남,500,14,전체,77,-0.632,0.044,0.544,0.515,,,,,
기준선,남,500,15,전체,55,-0.387,-0.046,0.615,0.06,,,,,
기준선,남,500,16,전체,46,-0.373,0.011,0.53,-0.164,,,,,
기준선,남,500,17,전체,42,-0.392,-0.011,0.837,0.266,,,,,
기준선,남,500,18,전체,37,-0.489,-0.065,0.577,0.021,,,,,
기준선,남,500,19,전체,26,-0.916,-0.096,0.403,-0.37,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,20,전체,18,-0.377,-0.084,0.172,0.149,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,21,전체,8,-0.763,-0.195,-0.028,-0.364,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,22,전체,8,-0.722,0.372,0.972,0.172,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,23,전체,3,-0.205,-0.05,0.812,0.422,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,24,전체,3,-0.369,-0.316,-0.079,-0.193,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,25,전체,4,-0.487,-0.291,0.06,-0.135,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,26,전체,3,-0.117,0.061,0.087,-0.04,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,27,전체,2,-0.139,0.156,0.451,0.156,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,28,전체,2,-0.514,-0.259,-0.004,-0.259,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,29,전체,1,-2.259,-2.259,-2.259,-2.259,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,38,전체,1,0.332,0.332,0.332,0.332,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,500,39,전체,1,0.676,0.676,0.676,0.676,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,1,전체,9,10.331,14.778,24.584,17.057,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,2,전체,37,-0.066,5.277,11.403,6.995,,,,,
기준선,남,1000,3,전체,96,-1.453,3.869,7.607,4.065,,,,,
기준선,남,1000,4,전체,143,-0.468,3.011,7.159,3.169,,,,,
기준선,남,1000,5,전체,188,-0.329,3.442,7.269,3.444,,,,,
기준선,남,1000,6,전체,153,0.808,3.975,8.669,4.484,,,,,
기준선,남,1000,7,전체,144,-0.012,2.565,5.206,3.632,,,,,
기준선,남,1000,8,전체,172,-0.403,2.151,5.051,2.727,,,,,
기준선,남,1000,9,전체,167,-0.287,2.37,4.847,2.771,,,,,
기준선,남,1000,10,전체,151,-1.127,0.943,2.775,1.036,,,,,
기준선,남,1000,11,전체,124,-0.694,0.734,2.917,1.65,,,,,
기준선,남,1000,12,전체,97,-1.151,0.548,2.271,0.624,,,,,
기준선,남,1000,13,전체,85,-1.026,0.064,1.479,0.401,,,,,
기준선,남,1000,14,전체,79,-1.457,-0.37,0.885,0.306,,,,,
기준선,남,1000,15,전체,58,-0.95,0.373,1.781,0.484,,,,,
기준선,남,1000,16,전체,45,-1.013,0.05,1.031,0.094,,,,,
기준선,남,1000,17,전체,41,-2.163,-0.658,0.533,-1.251,,,,,
기준선,남,1000,18,전체,34,-0.535,0.435,1.805,0.819,,,,,
기준선,남,1000,19,전체,28,-1.127,0.545,1.353,1.649,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,20,전체,18,-1.623,-0.53,1.383,-0.117,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,21,전체,8,-1.728,-1.202,-0.611,-1.2,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,22,전체,8,-1.691,0.064,0.439,-0.412,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,23,전체,1,0.868,0.868,0.868,0.868,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,24,전체,2,-1.617,-1.407,-1.197,-1.407,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,25,전체,4,-1.785,-0.553,1.31,0.078,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,26,전체,3,-18.041,0.412,0.706,-11.694,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,27,전체,2,0.259,0.277,0.296,0.277,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,28,전체,2,-1.762,-1.263,-0.763,-1.263,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,29,전체,1,0.222,0.222,0.222,0.222,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,30,전체,1,10.27,10.27,10.27,10.27,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
