익명키,시즌,출생연도,성별,학년,단계,종별_단계,대회수,경기수,classCd목록,오픈참가
003a4f4bf634,2006,1992,남,8,중등,중등,1,2,2,N
013ffe268093,2006,1995,남,5,초등,초등,1,4,2,N
03864a5f44da,2006,1987,여,13,대학·일반,대학·일반,1,2,2,N
03a71cae72a1,2006,1986,여,14,대학·일반,대학·일반,1,3,2,N
04c5a22f8436,2006,1990,여,10,고등,고등,1,4,2,N
059632336a62,2006,1985,남,15,대학·일반,대학·일반,1,2,2,N
06a2e9a7cbaa,2006,1988,여,12,고등,고등,1,2,2,N
093751dfd382,2006,1990,여,10,고등,고등,1,2,2,N
09a141acd968,2006,1988,남,12,고등,고등,1,3,2,N
0aa4c3c53f54,2006,1996,남,4,초등,초등,1,3,2,N
0af1f8641a01,2006,1993,남,7,중등,중등,1,2,2,N
0b22f4ac3c5a,2006,1983,여,17,대학·일반,대학·일반,1,2,2,N
0db5810a67de,2006,1992,남,8,중등,중등,1,4,2,N
0dd2b5579ad1,2006,1995,남,5,초등,초등,1,4,2,N
0e336592b3d6,2006,1984,남,16,대학·일반,대학·일반,1,3,2,N
0ea0f5ea4950,2006,1989,남,11,고등,고등,1,2,2,N
0ebee756e8e4,2006,1995,여,5,초등,초등,1,2,2,N
0f4ddee2a4bf,2006,1995,여,5,초등,초등,1,2,2,N
10d54ed3e18e,2006,1994,남,6,초등,초등,1,4,2,N
120a8bdd9867,2006,1994,남,6,초등,초등,1,4,2,N
121f5b9adbcf,2006,1995,남,5,초등,초등,1,1,2,N
12857deb2953,2006,1998,여,2,초등,초등,1,4,1|2,N
13234d547fef,2006,1997,여,3,초등,초등,1,2,2,N
14a21cfa416a,2006,1993,여,7,중등,중등,1,3,2,N
1502df7edb16,2006,1994,남,6,초등,초등,1,3,2,N
16e8c6d7367d,2006,1992,여,8,중등,중등,1,5,2,N
17e7c6ce5ee3,2006,1989,남,11,고등,고등,1,4,2,N
18ee553f4b1f,2006,1997,남,3,초등,초등,1,2,2,N
197892c3e852,2006,1997,남,3,초등,초등,1,5,2,N
1c1883e3e060,2006,1988,남,12,고등,고등,1,4,2,N
1d832ec4e806,2006,1998,여,2,초등,초등,1,4,2,N
1e0cbcf31898,2006,1999,남,1,초등,초등,1,4,1|2,N
1f0954e96210,2006,1989,남,11,고등,고등,1,3,2,N
1f0f26f535e5,2006,1991,여,9,중등,중등,1,6,2,N
1f7edacccc17,2006,1997,여,3,초등,초등,1,2,2,N
1fb0966c3867,2006,1997,남,3,초등,초등,1,1,2,N
208788bfc4a2,2006,1996,남,4,초등,초등,1,1,2,N
209d7f786bd2,2006,1992,여,8,중등,중등,1,4,2,N
213dd96bc532,2006,1994,남,6,초등,초등,1,7,2,N
225fb455c010,2006,1993,남,7,중등,중등,1,5,2,N
22c70867823a,2006,1993,남,7,중등,중등,1,3,2,N
23229c9f004b,2006,1998,남,2,초등,초등,1,2,2,N
233b40519c1a,2006,1997,여,3,초등,초등,1,2,2,N
2340f7c314fd,2006,1996,남,4,초등,초등,1,1,2,N
23fdd3113f3e,2006,1994,여,6,초등,초등,1,7,2,N
25316ea32f0b,2006,1983,남,17,대학·일반,대학·일반,1,3,2,N
26d5bb612f35,2006,1993,남,7,중등,중등,1,6,2,N
2796274b6b7c,2006,1989,남,11,고등,고등,1,6,2,N
27b173f8fe71,2006,1984,여,16,대학·일반,대학·일반,1,2,2,N
2800c29284fd,2006,1957,여,43,대학·일반,대학·일반,1,2,2,N
284cc082d4eb,2006,1990,여,10,고등,고등,1,4,2,N
28a8c1500f26,2006,1996,여,4,초등,초등,1,3,2,N
2909bacf2b4c,2006,1990,남,10,고등,고등,1,3,2,N
2af4aa3d8347,2006,1993,여,7,중등,중등,1,4,2,N
2b4eca169bba,2006,1986,남,14,대학·일반,대학·일반,1,3,2,N
2bd45abdf686,2006,1996,여,4,초등,초등,1,4,2,N
2c021d98fc97,2006,1992,남,8,중등,중등,1,5,2,N
2cd17c6a3c6f,2006,1990,남,10,고등,중등,1,2,2,N
2d46caf4d922,2006,1994,남,6,초등,초등,1,8,2,N
2dfec49bed16,2006,1990,남,10,고등,고등,1,6,2,N
2e607341fcd3,2006,1992,남,8,중등,중등,1,3,2,N
2f428e11b789,2006,1996,남,4,초등,초등,1,5,2,N
31deaa043f12,2006,1997,여,3,초등,초등,1,4,2,N
353c5f11b576,2006,1964,여,36,대학·일반,대학·일반,1,1,2,N
360ca438dd1b,2006,1994,여,6,초등,초등,1,4,2,N
386a61e110a7,2006,1992,남,8,중등,중등,1,5,2,N
399812def382,2006,1997,남,3,초등,초등,1,2,2,N
39f6621d7e2b,2006,1995,여,5,초등,초등,1,4,2,N
3a0c05301215,2006,1994,여,6,초등,초등,1,2,2,N
3b0d6635d264,2006,1995,남,5,초등,초등,1,3,2,N
3e80a02ff6a1,2006,1997,남,3,초등,초등,1,1,2,N
3f1788095245,2006,1988,여,12,고등,고등,1,2,2,N
40edf77df701,2006,1995,남,5,초등,초등,1,2,2,N
410165e0952a,2006,1988,여,12,고등,고등,1,4,2,N
41505a8e971a,2006,1982,남,18,대학·일반,대학·일반,1,3,2,N
41d894c45470,2006,1998,남,2,초등,초등,1,1,2,N
41daacdce9f4,2006,1986,남,14,대학·일반,대학·일반,1,2,2,N
41e6b8ece69c,2006,1982,남,18,대학·일반,대학·일반,1,4,2,N
4280c7cb11a8,2006,1995,여,5,초등,초등,1,6,2,N
42c665383c05,2006,1990,남,10,고등,고등,1,4,2,N
43f440a30a61,2006,1987,남,13,대학·일반,대학·일반,1,1,2,N
445c1ffd77ff,2006,1987,남,13,대학·일반,대학·일반,1,2,2,N
44ce8b98600d,2006,1989,여,11,고등,고등,1,4,2,N
4646f63de992,2006,1983,남,17,대학·일반,대학·일반,1,2,2,N
469128197622,2006,1996,남,4,초등,초등,1,4,2,N
4773cab8f530,2006,1994,남,6,초등,초등,1,6,2,N
48c0037b849a,2006,1995,여,5,초등,초등,1,3,2,N
48eed1d4a807,2006,1997,여,3,초등,초등,1,2,2,N
4ded9774e8af,2006,1984,남,16,대학·일반,대학·일반,1,4,2,N
4e6b997a8725,2006,1989,여,11,고등,고등,1,2,2,N
4f42cd0206f2,2006,1989,남,11,고등,고등,1,2,2,N
4f8d3f680d61,2006,1997,남,3,초등,초등,1,2,2,N
5085ca159c8f,2006,1988,남,12,고등,고등,1,2,2,N
5140194a098d,2006,1993,남,7,중등,중등,1,3,2,N
522178dded04,2006,1993,남,7,중등,중등,1,2,2,N
52fb82ab3a08,2006,1990,남,10,고등,고등,1,1,2,N
55354c9371d1,2006,1992,남,8,중등,중등,1,2,2,N
553b3be74f3e,2006,1992,여,8,중등,중등,1,2,2,N
562e5fe825a7,2006,1995,여,5,초등,초등,1,2,2,N
568d30615abe,2006,1993,여,7,중등,중등,1,2,2,N
5895d578875a,2006,1993,여,7,중등,중등,1,3,2,N
58c7e9519e49,2006,1989,남,11,고등,고등,1,2,2,N
58e0de64f75b,2006,1989,여,11,고등,고등,1,2,2,N
590deecb8409,2006,1962,남,38,대학·일반,대학·일반,1,1,2,N
5a48fa55599c,2006,1996,여,4,초등,초등,1,4,2,N
5ba6602282a6,2006,1998,여,2,초등,초등,1,2,2,N
5bae8dbea2a0,2006,1995,남,5,초등,초등,1,6,2,N
5c46ec9fe215,2006,1997,남,3,초등,초등,1,1,2,N
5c75f5194b15,2006,1990,남,10,고등,고등,1,2,2,N
5eb13f527fe7,2006,1992,여,8,중등,중등,1,4,2,N
5ec15f0604fb,2006,1985,남,15,대학·일반,대학·일반,1,2,2,N
5f9645c292e9,2006,1992,남,8,중등,중등,1,7,2,N
5ff1e218fcd8,2006,1991,남,9,중등,중등,1,2,2,N
60eaac476253,2006,1988,여,12,고등,고등,1,1,2,N
62c11a801dcd,2006,1988,남,12,고등,고등,1,2,2,N
630c5a5cdfd2,2006,1986,남,14,대학·일반,대학·일반,1,3,2,N
634ddb0fe080,2006,1991,남,9,중등,중등,1,5,2,N
6352595f975c,2006,1992,남,8,중등,중등,1,5,2,N
63635f6574ae,2006,1996,여,4,초등,초등,1,2,2,N
643e2bd747aa,2006,1987,여,13,대학·일반,대학·일반,1,2,2,N
64762911db97,2006,1993,남,7,중등,중등,1,6,2,N
652cac194737,2006,1991,남,9,중등,중등,1,6,2,N
65b8db63a6f3,2006,1995,여,5,초등,초등,1,2,2,N
65dd4577519a,2006,1991,남,9,중등,고등,1,2,2,N
669f394d43bf,2006,1996,남,4,초등,초등,1,1,2,N
670cacd56ebc,2006,1993,여,7,중등,중등,1,4,2,N
67c82e980096,2006,1991,남,9,중등,중등,1,8,2,N
6a06ceea920f,2006,1993,여,7,중등,중등,1,3,2,N
6a079b9181c5,2006,1988,여,12,고등,고등,1,3,2,N
6a1768916603,2006,1990,여,10,고등,고등,1,3,2,N
6a24f85ba7f3,2006,1993,남,7,중등,중등,1,2,2,N
6a9b86db8452,2006,1995,남,5,초등,초등,1,5,2,N
6b07a2191c5f,2006,1995,남,5,초등,초등,1,3,2,N
6b1054af486e,2006,1995,여,5,초등,초등,1,4,1|2,N
6b6217835a81,2006,1993,남,7,중등,중등,1,5,2,N
6c14525d9ac7,2006,1992,남,8,중등,중등,1,2,2,N
6d16ce9fa92e,2006,1988,여,12,고등,대학·일반,1,2,2,N
6ea2e7a25605,2006,1997,남,3,초등,초등,1,1,2,N
6eb4cb0c489c,2006,1983,여,17,대학·일반,대학·일반,1,2,2,N
703d71ebe1bf,2006,1990,남,10,고등,고등,1,2,2,N
705bb485ca5f,2006,1990,남,10,고등,고등,1,2,2,N
716122f09a99,2006,1991,여,9,중등,중등,1,4,2,N
71d0f368817c,2006,1987,남,13,대학·일반,대학·일반,1,2,2,N
73f7e164b027,2006,1982,남,18,대학·일반,대학·일반,1,5,2,N
747998c3be2f,2006,1965,남,35,대학·일반,대학·일반,1,2,2,N
75613589746d,2006,1996,남,4,초등,초등,1,3,2,N
769c547e8d2e,2006,1996,여,4,초등,초등,1,4,2,N
76d7fa10b2b4,2006,1983,여,17,대학·일반,대학·일반,1,2,2,N
779035097887,2006,1991,남,9,중등,중등,1,2,2,N
77aea32d94e2,2006,1995,여,5,초등,초등,1,6,2,N
7846ebce93a3,2006,1986,여,14,대학·일반,대학·일반,1,2,1,N
7888da2a2b75,2006,1993,남,7,중등,중등,1,4,2,N
78b743c5bff1,2006,1992,여,8,중등,중등,1,4,2,N
78ca889b0543,2006,1983,남,17,대학·일반,대학·일반,1,4,2,N
79ae0d5998d5,2006,1993,여,7,중등,중등,1,3,2,N
7a327b933fcf,2006,1980,남,20,대학·일반,대학·일반,1,3,2,N
7ba47907d375,2006,1994,남,6,초등,초등,1,6,2,N
