기준유형,성별,구간수,백분위구간,구간정렬값,병합규칙,표본N,중등대상N,중등도달N,중등도달률(%),중등도달CI하한(%),중등도달CI상한(%),고등대상N,고등도달N,고등도달률(%),고등도달CI하한(%),고등도달CI상한(%),대학일반대상N,대학일반도달N,대학일반도달률(%),대학일반도달CI하한(%),대학일반도달CI상한(%),기록대비방향일치_중등,기록대비방향일치_고등,기록대비방향일치_대학일반,신뢰한계문구
기록백분위,남,4,상위 10%,1,4구간 유지,39,33,30,90.91,76.43,96.86,28,21,75.0,56.64,87.32,21,15,71.43,50.04,86.19,,,,고등 분석 대상이 30명 미만입니다. 대학일반 분석 대상이 30명 미만입니다.
기록백분위,남,4,10~30%,2,4구간 유지,86,74,65,87.84,78.47,93.47,62,49,79.03,67.36,87.32,51,35,68.63,54.97,79.67,,,,
기록백분위,남,4,30~50%,3,4구간 유지,120,106,89,83.96,75.81,89.74,91,54,59.34,49.07,68.86,64,28,43.75,32.29,55.91,,,,
기록백분위,남,4,50% 이하,4,4구간 유지,243,214,167,78.04,72.02,83.06,179,73,40.78,33.85,48.1,130,33,25.38,18.68,33.5,,,,
기록백분위,여,3,상위 10%,1,3구간 병합(10~30%+30~50%),21,18,17,94.44,74.24,99.01,16,13,81.25,56.99,93.41,12,7,58.33,31.95,80.67,,,,"구간 표본이 30명 미만이라 해석 신뢰도가 낮습니다. 표본 부족으로 중간 구간(10~30%, 30~50%)을 병합했습니다. 중등 분석 대상이 30명 미만입니다. 고등 분석 대상이 30명 미만입니다. 대학일반 분석 대상이 30명 미만입니다."
기록백분위,여,3,10~50%,2,3구간 병합(10~30%+30~50%),148,130,116,89.23,82.73,93.48,115,80,69.57,60.64,77.23,78,40,51.28,40.39,62.05,,,,"표본 부족으로 중간 구간(10~30%, 30~50%)을 병합했습니다."
기록백분위,여,3,50% 이하,4,3구간 병합(10~30%+30~50%),199,179,140,78.21,71.61,83.63,135,47,34.81,27.3,43.17,96,18,18.75,12.2,27.7,,,,"표본 부족으로 중간 구간(10~30%, 30~50%)을 병합했습니다."
순위백분위,남,3,상위 10%,1,3구간 병합(10~30%+30~50%),25,23,23,100.0,85.69,100.0,21,20,95.24,77.33,99.15,15,12,80.0,54.81,92.95,Y,Y,Y,"구간 표본이 30명 미만이라 해석 신뢰도가 낮습니다. 표본 부족으로 중간 구간(10~30%, 30~50%)을 병합했습니다. 중등 분석 대상이 30명 미만입니다. 고등 분석 대상이 30명 미만입니다. 대학일반 분석 대상이 30명 미만입니다."
순위백분위,남,3,10~50%,2,3구간 병합(10~30%+30~50%),176,165,148,89.7,84.12,93.47,139,98,70.5,62.45,77.45,108,62,57.41,47.99,66.32,Y,Y,Y,"표본 부족으로 중간 구간(10~30%, 30~50%)을 병합했습니다."
순위백분위,남,3,50% 이하,4,3구간 병합(10~30%+30~50%),228,210,126,60.0,53.25,66.39,175,56,32.0,25.54,39.23,128,29,22.66,16.26,30.64,Y,Y,Y,"표본 부족으로 중간 구간(10~30%, 30~50%)을 병합했습니다."
순위백분위,여,3,상위 10%,1,3구간 병합(10~30%+30~50%),22,20,20,100.0,83.89,100.0,17,14,82.35,58.97,93.81,14,9,64.29,38.76,83.66,Y,Y,Y,"구간 표본이 30명 미만이라 해석 신뢰도가 낮습니다. 표본 부족으로 중간 구간(10~30%, 30~50%)을 병합했습니다. 중등 분석 대상이 30명 미만입니다. 고등 분석 대상이 30명 미만입니다. 대학일반 분석 대상이 30명 미만입니다."
순위백분위,여,3,10~50%,2,3구간 병합(10~30%+30~50%),137,126,115,91.27,85.04,95.06,104,70,67.31,57.82,75.57,74,37,50.0,38.89,61.11,Y,Y,Y,"표본 부족으로 중간 구간(10~30%, 30~50%)을 병합했습니다."
순위백분위,여,3,50% 이하,4,3구간 병합(10~30%+30~50%),184,177,106,59.89,52.53,66.82,145,52,35.86,28.51,43.94,105,20,19.05,12.68,27.6,Y,Y,Y,"표본 부족으로 중간 구간(10~30%, 30~50%)을 병합했습니다."
