지표유형,기준,분리기준,분리값,학년,전환구간,잔존인원,잔존율(%),신규진입인원,다음학년진입인원,학년이탈인원,학년이탈률(%),도달단계,도달인원,도달률(%),대상인원,병합의심률(%),관측시즌범위,신뢰한계문구
학년잔존,쇼트트랙 기준,전체,전체,1,,74,100.0,74,66,8,10.81,,,,74,0.0,2006~2026,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,쇼트트랙 기준,전체,전체,2,,303,97.43,237,240,63,20.79,,,,311,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,3,,533,88.25,293,421,112,21.01,,,,604,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,4,,761,81.74,327,607,154,20.24,,,,931,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,5,,860,73.88,233,690,170,19.77,,,,1164,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,6,6→7,955,67.44,252,727,228,23.87,,,,1416,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,7,,852,55.61,116,650,202,23.71,,,,1532,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,8,,752,46.65,80,598,154,20.48,,,,1612,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,9,9→10,693,40.98,79,558,135,19.48,,,,1691,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,10,,621,35.65,51,485,136,21.9,,,,1742,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,11,,542,30.45,38,425,117,21.59,,,,1780,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,12,12→13,478,26.25,41,350,128,26.78,,,,1821,0.0,2006~2026,
학년잔존,쇼트트랙 기준,전체,전체,13,,381,20.7,20,290,91,23.88,,,,1841,0.0,2006~2026,최신 학년은 관측기간 부족으로 이탈률이 과대 추정될 수 있습니다.
학년잔존,쇼트트랙 기준,성별,남,1,,45,100.0,45,38,7,15.56,,,,45,0.0,2006~2026,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,쇼트트랙 기준,성별,남,2,,194,96.52,156,147,47,24.23,,,,201,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,3,,325,85.75,178,257,68,20.92,,,,379,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,4,,449,79.61,185,354,95,21.16,,,,564,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,5,,490,71.12,125,392,98,20.0,,,,689,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,6,6→7,532,64.72,133,406,126,23.68,,,,822,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,7,,482,53.85,73,368,114,23.65,,,,895,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,8,,427,45.52,43,350,77,18.03,,,,938,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,9,9→10,412,41.7,50,334,78,18.93,,,,988,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,10,,369,36.25,30,289,80,21.68,,,,1018,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,11,,321,30.87,22,257,64,19.94,,,,1040,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,12,12→13,289,27.14,25,219,70,24.22,,,,1065,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,남,13,,242,22.39,16,185,57,23.55,,,,1081,0.0,2006~2026,최신 학년은 관측기간 부족으로 이탈률이 과대 추정될 수 있습니다.
학년잔존,쇼트트랙 기준,성별,여,1,,29,100.0,29,28,1,3.45,,,,29,0.0,2006~2026,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,쇼트트랙 기준,성별,여,2,,109,99.09,81,93,16,14.68,,,,110,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,여,3,,208,92.44,115,164,44,21.15,,,,225,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,여,4,,312,85.01,142,253,59,18.91,,,,367,0.0,2006~2026,
학년잔존,쇼트트랙 기준,성별,여,5,,370,77.89,108,298,72,19.46,,,,475,0.0,2006~2026,
