대상그룹,지표,구간,대상N,해당N,비율(%),국가대표N,7번방향일치,신뢰한계문구
대학·일반 진입,백분위 분포,상위권,373,69,18.5,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
대학·일반 진입,백분위 분포,중위권,373,80,21.45,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
대학·일반 진입,백분위 분포,하위권,373,20,5.36,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
대학·일반 진입,백분위 분포,초등 기록 없음,373,204,54.69,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
대학·일반 진입,유형 분류,조기 두각형,373,69,18.5,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
대학·일반 진입,유형 분류,후발 상승형,373,100,26.81,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
대학·일반 진입,유형 분류,늦은 시작형,373,204,54.69,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
고등부 완주,백분위 분포,상위권,315,43,13.65,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
고등부 완주,백분위 분포,중위권,315,74,23.49,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
고등부 완주,백분위 분포,하위권,315,24,7.62,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
고등부 완주,백분위 분포,초등 기록 없음,315,174,55.24,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
고등부 완주,유형 분류,조기 두각형,315,43,13.65,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
고등부 완주,유형 분류,후발 상승형,315,98,31.11,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
고등부 완주,유형 분류,늦은 시작형,315,174,55.24,,Y,초등 기록 없음은 늦은 시작과 과거 전산 누락이 함께 섞일 수 있습니다.
국가대표,백분위 분포,상위권,14,,,,Y,표본이 100명 미만이라 해석 신뢰도가 낮습니다. SPLITS_ANON_SALT 미설정 상태에서는 익명 입력 모드에서 국가대표 위치 매칭이 일부 누락될 수 있습니다. 국가대표 위치는 현재 실행 환경에서 매칭할 수 없어 비율을 비공개 처리했습니다.
국가대표,백분위 분포,중위권,14,,,,Y,표본이 100명 미만이라 해석 신뢰도가 낮습니다. SPLITS_ANON_SALT 미설정 상태에서는 익명 입력 모드에서 국가대표 위치 매칭이 일부 누락될 수 있습니다. 국가대표 위치는 현재 실행 환경에서 매칭할 수 없어 비율을 비공개 처리했습니다.
국가대표,백분위 분포,하위권,14,,,,Y,표본이 100명 미만이라 해석 신뢰도가 낮습니다. SPLITS_ANON_SALT 미설정 상태에서는 익명 입력 모드에서 국가대표 위치 매칭이 일부 누락될 수 있습니다. 국가대표 위치는 현재 실행 환경에서 매칭할 수 없어 비율을 비공개 처리했습니다.
국가대표,백분위 분포,초등 기록 없음,14,,,,Y,표본이 100명 미만이라 해석 신뢰도가 낮습니다. SPLITS_ANON_SALT 미설정 상태에서는 익명 입력 모드에서 국가대표 위치 매칭이 일부 누락될 수 있습니다. 국가대표 위치는 현재 실행 환경에서 매칭할 수 없어 비율을 비공개 처리했습니다.
국가대표,유형 분류,조기 두각형,14,,,,Y,표본이 100명 미만이라 해석 신뢰도가 낮습니다. SPLITS_ANON_SALT 미설정 상태에서는 익명 입력 모드에서 국가대표 위치 매칭이 일부 누락될 수 있습니다. 국가대표 위치는 현재 실행 환경에서 매칭할 수 없어 비율을 비공개 처리했습니다.
국가대표,유형 분류,후발 상승형,14,,,,Y,표본이 100명 미만이라 해석 신뢰도가 낮습니다. SPLITS_ANON_SALT 미설정 상태에서는 익명 입력 모드에서 국가대표 위치 매칭이 일부 누락될 수 있습니다. 국가대표 위치는 현재 실행 환경에서 매칭할 수 없어 비율을 비공개 처리했습니다.
국가대표,유형 분류,늦은 시작형,14,,,,Y,표본이 100명 미만이라 해석 신뢰도가 낮습니다. SPLITS_ANON_SALT 미설정 상태에서는 익명 입력 모드에서 국가대표 위치 매칭이 일부 누락될 수 있습니다. 국가대표 위치는 현재 실행 환경에서 매칭할 수 없어 비율을 비공개 처리했습니다.
