원본표기,정규화키,학교급,출현횟수
은석초등학교,은석초등학교,초,332
금성초등학교,금성초등학교,초,295
한국체육대학교,한국체육대학교,대,224
대구교대안동부설초등학교,대구교대안동부설초등학교,초,126
사내초등학교,사내초등학교,초,116
단국대학교,단국대학교,대,105
버들개초등학교,버들개초등학교,초,90
금병초등학교,금병초등학교,초,83
서현고등학교,서현고등학교,고,83
서현중학교,서현중학교,중,77
양평초등학교,양평초등학교,초,75
신목고등학교,신목고등학교,고,72
대구교육대안동부설초등학교,대구교육대안동부설초등학교,초,68
유촌초등학교,유촌초등학교,초,65
노원고등학교,노원고등학교,고,62
경기일반,경기일반,기타,61
경의초등학교,경의초등학교,초,59
서울일반,서울일반,기타,59
선곡초등학교,선곡초등학교,초,59
경희대학교,경희대학교,대,57
USC,USC,기타,56
의정부고등학교,의정부고등학교,고,56
청원초등학교,청원초등학교,초,56
사동초등학교,사동초등학교,초,53
삼육초등학교,삼육초등학교,초,53
양주백석중학교,양주백석중학교,중,53
원묵초등학교,원묵초등학교,초,51
화랑초등학교,화랑초등학교,초,51
원주중앙초등학교,원주중앙초등학교,초,50
의정부중학교,의정부중학교,중,50
태강삼육초등학교,태강삼육초등학교,초,50
화성시청,화성시청,실업,49
성남시청,성남시청,실업,48
양주백석초등학교,양주백석초등학교,초,48
S.S.S.C.(서울스피드스케이트클럽),S.S.S.C.(서울스피드스케이트클럽),실업,47
의정부시청,의정부시청,실업,45
동북고등학교,동북고등학교,고,44
달산초등학교,달산초등학교,초,43
서울시청,서울시청,실업,43
신목중학교,신목중학교,중,43
양구초등학교,양구초등학교,초,42
경신고등학교,경신고등학교,고,41
리라초등학교,리라초등학교,초,41
성림초등학교,성림초등학교,초,39
경신중학교,경신중학교,중,38
화수중학교,화수중학교,중,38
고양시청,고양시청,실업,37
상명초등학교,상명초등학교,초,37
의정부여자고등학교,의정부여자고등학교,고,37
성동초등학교,성동초등학교,초,36
용인대학교,용인대학교,대,35
춘천교육대학교부설초등학교,춘천교육대학교부설초등학교,초,35
양주백석고등학교,양주백석고등학교,고,33
과천중학교,과천중학교,중,32
남춘천중학교,남춘천중학교,중,32
녹양초등학교,녹양초등학교,초,32
의정부여자중학교,의정부여자중학교,중,32
전주제일고등학교,전주제일고등학교,고,32
춘천교육대학교 부설 초등학교,춘천교육대학교부설초등학교,초,32
봄내초등학교,봄내초등학교,초,31
불암초등학교,불암초등학교,초,31
스포츠토토빙상단,스포츠토토빙상단,기타,31
전북일반,전북일반,기타,31
경희사이버대학교,경희사이버대학교,대,30
은석초등,은석초등,기타,30
정화중학교,정화중학교,중,30
철원초등학교,철원초등학교,초,30
