출생연도,성별,거리,기록_인원수,기록_p05,기록_p10,기록_p20,기록_p30,기록_p40,기록_p50,기록_p60,기록_p70,기록_p80,기록_p90,기록_p95,순위_인원수,순위_p25,순위_p50,순위_p75
1950,남,1500,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1950,남,3000,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1953,남,1000,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1956,남,500,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1956,남,1000,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1956,남,1500,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1957,여,500,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1957,여,1000,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1957,여,1500,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1957,여,3000,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1958,남,1000,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1958,남,1500,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1958,남,3000,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
