출생연도,성별,최초출전나이_p25,최초출전나이_p50,최초출전나이_p75,초등부출전수_p50,인원수
1940,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1948,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1950,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1952,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1953,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1955,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1956,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1957,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1957,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1958,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1958,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1959,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1959,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1960,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1960,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1961,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1961,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1962,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1962,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1963,남,44.0,46.5,49.8,0.0,10
1963,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1964,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1964,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1965,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1965,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1966,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1966,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1967,남,45.0,45.0,46.0,0.0,10
1967,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1968,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1968,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1969,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1970,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1970,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1971,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1972,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1972,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1973,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1974,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1974,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1975,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1975,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1976,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1976,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1977,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1977,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1978,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1978,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1979,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1979,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1980,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1980,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1981,남,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1981,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1982,남,25.0,25.0,26.5,0.0,11
1982,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1983,남,24.0,24.0,24.5,0.0,11
1983,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1984,남,23.0,23.0,24.5,0.0,20
1984,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1985,남,22.0,22.0,24.2,0.0,20
1985,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1986,남,21.0,21.0,21.0,0.0,16
1986,여,데이터 부족,데이터 부족,데이터 부족,데이터 부족,데이터 부족
1987,남,20.0,20.0,20.0,0.0,17
1987,여,20.0,20.0,27.0,0.0,11
1988,남,19.0,19.0,20.2,0.0,20
1988,여,19.0,19.0,19.0,0.0,17
1989,남,18.0,18.0,18.2,0.0,24
1989,여,18.0,18.0,18.0,0.0,14
1990,남,17.0,17.0,17.0,0.0,31
1990,여,17.0,17.0,20.0,0.0,15
1991,남,16.0,16.0,16.0,0.0,36
1991,여,16.0,16.0,16.0,0.0,17
1992,남,15.0,15.0,16.0,0.0,35
1992,여,15.0,15.0,17.5,0.0,31
1993,남,14.0,14.0,16.0,0.0,43
1993,여,14.0,14.0,17.0,0.0,24
